Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Untitled 9","Bremen Entertainment Inc.","Taured","ca's write n daydream companion","Playlist","FRX202291181","67RSYTAmSaip7s8DMOUhC8"
"wind","Yoko Komatsu","cosui","ca's write n daydream companion","Playlist","TCJPJ1967157","0LMTiZJypsIeW3YAxdtDPM"
"Gerden","Takumi Kaneko","Unwind","ca's write n daydream companion","Playlist","JPP951300197","1CeQkgGKQtjhPwfcVrELh2"
"Pain Is A Lover","缺省","Life In A Vacuum","ca's write n daydream companion","Playlist","CNZ511900692","02LdY1S3vCF5RywmTdYKqY"
"湖","加藤久貴","映画「わたしは光をにぎっている」オリジナル・サウンドトラック","ca's write n daydream companion","Playlist","JPK891900210","1mOYp8Ic4s6dqDt2sYkVL8"
"(forever?????????)","glass beach","the first glass beach album","ca's write n daydream companion","Playlist","QZES91985630","0wNOZ8FmGnnNH1YGEWjzLK"
"Opening Scene","Chamsom","Somebody Else","ca's write n daydream companion","Playlist","KRMIM2135790","4wAkEYRV0qfZxRcoy9T9eH"
"Little Things","Adrián Berenguer","Immaterial","ca's write n daydream companion","Playlist","AEA0Q2182007","0awKSn8GziBuAXDeHp2Bm8"
"Ladyfingers","Herb Alpert & The Tijuana Brass","Whipped Cream & Other Delights","ca's write n daydream companion","Playlist","USSE90321084","0NLebGDyFekhMcQKG7xfaP"
"Hurwitz / Arr. Bouchard: La la land: Mia and Sebastian's Theme","Justin Hurwitz","Plus d'émotions","ca's write n daydream companion","Playlist","GBAYC2002208","5qY0DKB7qYMHAw5qSFAUs9"
"Theme From A Summer Place","Percy Faith & His Orchestra","Summer Place","ca's write n daydream companion","Playlist","USESK1705667","369DA2r2Ycpk8DjJGVIU9S"
"Constancy","Jay & Days","Only","ca's write n daydream companion","Playlist","FR59R2393752","6P4UTfaxRGYMHAgrlUJE0Y"
"Eternally","Jay & Days","Only","ca's write n daydream companion","Playlist","FR59R2393750","3Vu0eprku8MCTxL7L9FCuc"
"Stolen Heart","Jay & Days","Only","ca's write n daydream companion","Playlist","FR59R2393757","4lR9lqcNjmbjkKrLc013Jb"
"Only","Jay & Days","Only","ca's write n daydream companion","Playlist","FR59R2393759","6ca8VIP64PWCYhL039NPXj"
"True Love","Jay & Days","Only","ca's write n daydream companion","Playlist","FR59R2393746","3enXizO1ISQx6LI8MmP25h"
"Remember","Jay & Days","Only","ca's write n daydream companion","Playlist","FR59R2393751","6vM8958ymvj589YVMIi4CJ"
"Dreamer","Jay & Days","Only","ca's write n daydream companion","Playlist","FR59R2393748","7BTowwoQu2HH49uH2f1iHL"
"Story Book","Jay & Days","Only","ca's write n daydream companion","Playlist","FR59R2393755","1Qjj9po8Jl1WUHsWdFYokH"
"Scene I, Kyoto","Umitaro Abe","Cahier de musique / 音楽手帖","ca's write n daydream companion","Playlist","JPZ921612255","0p8gAcPkDYgzcZZwAou12B"
"seaside village","Kang Asol","Chungmu","ca's write n daydream companion","Playlist","KRMIM2215655","5ADTomRdvY76Er1uuVrvrp"
"You","Vietra","Strawberries","ca's write n daydream companion","Playlist","uscgh2043649","27JXVe80vFun97upipztKX"
"Alone Late at Night","Shigeru Nagata","The Ocean Waves (Original Soundtrack)","ca's write n daydream companion","Playlist","JPTK09380305","6w4fbrl2HTyNxEAyzm7Tdz"
"The Ocean Waves","Shigeru Nagata","The Ocean Waves (Original Soundtrack)","ca's write n daydream companion","Playlist","JPTK09380302","4OewEEF60LvBU2AZSyoeah"
"First Impression","Shigeru Nagata","The Ocean Waves (Original Soundtrack)","ca's write n daydream companion","Playlist","JPTK09380301","3iyINjITP40s8XrxAtn02W"
"恋人とは・・・","Toshihiro Nakanishi","オーガニック・スタイル 中西俊博 the BEST","ca's write n daydream companion","Playlist","JPSR08705970","6WnKvh8hA1k8DxRDi2fPQN"
"A Girl's Thoughts","Shigeru Nagata","The Ocean Waves (Original Soundtrack)","ca's write n daydream companion","Playlist","JPTK09380304","7yYzalO3Y6lqZ4SpBBIzuw"
"MUJI2020","Ryuichi Sakamoto","Playing the Piano 12122020","ca's write n daydream companion","Playlist","JPB602103378","6q4yJfdPmQh5OkzJHrj538"
"Ieta","Ryuichi Sakamoto","Ieta","ca's write n daydream companion","Playlist","JPB602104432","7zgizTrRXUNJ67FRxKElml"
"Duet","Omori","Omori (Original Game Soundtrack), Pt.3","ca's write n daydream companion","Playlist","TCAFL2165663","5RzB3KcfvZgvsWcsETVsqG"
"bagatelle no.2","Teruyuki Nobuchika","Sonorite","ca's write n daydream companion","Playlist","JPB641100205","3cdeOHLNsOsP9sQ6t69qZj"
"Intermittent","Iwamura Ryuta","Raining to Hear","ca's write n daydream companion","Playlist","QMBZ92000559","3QLQ1LUOE9zOYJRYhX4pva"
"Spencer","Jonny Greenwood","Spencer (Original Motion Picture Soundtrack)","ca's write n daydream companion","Playlist","GBUM72106718","5A2VY74odRFW9gVnFo1CRE"
"Moon Flower","Maika Loubté","Moon Flower","ca's write n daydream companion","Playlist","NLRD52010026","1zNdql4RAENgsKUM6W0muM"
"lumiere","Kaede","Youth - Original Soundtrack","ca's write n daydream companion","Playlist","JPE871903969","1BYjy6d2sliC6lANcwVwFm"
"before the rain","Milena","Sweeet","ca's write n daydream companion","Playlist","KRA252201480","034PUyy9Feu1F3s0Xh8qt1"
"Minerva","Akira Kosemura","Diary 2016-2019","ca's write n daydream companion","Playlist","TCJPI1945730","0KBohkkuxzf2EDf0hmmEYm"
"September 16 / Es-dur","Iwamura Ryuta","Monday Impression","ca's write n daydream companion","Playlist","JPB671602561","2ImPlIfC6RygVYKSANhxgf"
"Musetta's Waltz","Giacomo Puccini","Moonstruck (Original Motion Picture Soundtrack)","ca's write n daydream companion","Playlist","USUM71415167","1FvMURFQ8Ca7A5sdRVuMir"
"Safflower - Piano Version","Katsu Hoshi","Only Yesterday Image Album","ca's write n daydream companion","Playlist","JPTK09080613","6TYRnUhbIi830ERWtGKbSy"
"mou","Teruyuki Nobuchika","Sonorite","ca's write n daydream companion","Playlist","JPB641100201","12zymbsA9SpQ9TZqRg7gCn"
"Stories of a Figure Skater - Day Off","Hikaru Shirosu","Stories of a Figure Skater - Day Off","ca's write n daydream companion","Playlist","GBWUL2082225","52dlLkZWeVOGKZzCr78l0F"
"Prelude No. 2, Op. 7 ""Saxophone Quartet""","Hikaru Shirosu","Prelude No. 2, Op. 7 ""Saxophone Quartet""","ca's write n daydream companion","Playlist","QZ5FN2063167","1qzdLuMw3XGJrG0Ta5KOCG"
"Dawn","Takumi Kaneko","Unwind","ca's write n daydream companion","Playlist","JPP951300199","3ypI4nMxLx4UpXtyYp7fTn"
"natsu","Yoko Komatsu","cosui","ca's write n daydream companion","Playlist","TCJPJ1967160","3VO0L3IzlrHaLunIgkhOTz"
"山桜","Mine Kawakami","Nostalghia～Kiyomizu～","ca's write n daydream companion","Playlist","JPJ901615150","0ffTtIjqKsNBKIqvW3TrZm"
"Dare mo Shiranai","Gontiti","Gontiti 25th Anniversary","ca's write n daydream companion","Playlist","JPPC00301319","2GQ7eWqRBc8nmEbVKllF1l"
"Hiraku","Umitaro Abe","The Gardens -Chamber music for Clematis no Oka-","ca's write n daydream companion","Playlist","JPZ921309485","6RyBAjFYyOy7Z4Th5IFhBi"
"Tenshi No Tamago","Albert Karch","Celestially Light","ca's write n daydream companion","Playlist","PL27A1900024","4kT6GooXdm9pE9DjnYEf2M"
"Higashi Yoshino","Oh Shu","Villa Tereze","ca's write n daydream companion","Playlist","JPJ901802490","5GbFjiN7n8UinsQG27YQVP"
"Sakura","Takahiro Kido","in my Time","ca's write n daydream companion","Playlist","TCJPD1680626","0VbuRai18mA0GtiCiKdqph"
"Humming","akiko","Spectrum","ca's write n daydream companion","Playlist","JPZ921908714","0uMCZ6DWMQocZoVgMUf3d0"
"공원에서","You Hee Yeol","여름날 (유희열 소품집)","ca's write n daydream companion","Playlist","KRA900800106","4YPHMuOoDaQBdl9mOxu7Vz"
